English,Arabic
part,جزء
history,تاريخ
search,يبحث
only,فقط
police,شرطة
thought,معتقد
help,يساعد
request,طلب
kind,عطوف
month,شهر
brother,أخ
let,يترك
because,لأن
to put,لوضع
no,لا
leash,رباط
them,هم
city,مدينة
each,كل
speak,يتكلم
come,يأتي
should,يجب
baby,طفل
long time,منذ وقت طويل
hours,ساعات
will,سوف
while,بينما
meet again,التقي مرة أخرى
any,أي
square,مربع
speak,يتكلم
understood,مفهومة
knew,عرف
were,كان
Warning,تحذير
here is,هنا
could,استطاع
case,قضية
give,يعطي
type,يكتب
their,هُم
given,منح
train,يدرب
body,جسم
place,مكان
eyes,عيون
way,طريق
listen,يستمع
whose,لمن
find,يجد
first,أولاً
lost,ضائع
hand,يُسلِّم
first,أولاً
side,جانب
power,قوة
old,قديم
be,يكون
here,هنا
morning,صباح
so much,بكثير
child,طفل
point,نقطة
came,أتى
after,بعد
sorry,آسف
come,يأتي
in front of,امام
towards,تجاه
minutes,دقائق
request,طلب
bedroom,غرفة نوم
placed,وضعت
beautiful,جميل
law,قانون
would like to,هل تحب أن
today,اليوم
husband,زوج
cause,سبب
finally,أخيراً
hope,يأمل
water,ماء
Wait,انتظر
left,غادر
new,جديد
job,وظيفة
Stop,قف
would say,سيقول
Earth,أرض
account,حساب
given,منح
far,بعيد
end,نهاية
believe,يعتقد
sweetheart,حبيب
large,كبير
rather,بدلاً
will have,سوف نحصل على
girls,فتيات
to play,للعب
office,مكتب
